Median Unit Price - 2019,,,,,,,,,,,,,,,,
CRAIGIEBURN,275000,297500,320000,303000,311000,335000,339500,349000,366000,393000,380000,368000,-3,38,3.3,
CRANBOURNE,226000,247500,259000,246000,260000,265000,281500,285000,358500,400000,362500,370000,-9,60,4.8,
CRANBOURNE EAST,299000,310000,300000,355000,340000,345000,379000,379000,418500,440000,427500,415000,-3,43,3.6,
CRANBOURNE NORTH,270000,261000,288500,279000,262000,369000,330500,375000,405000,407500,425000,405000,4,57,4.6,
CRANBOURNE WEST,237500,278000,270000,235000,253500,306500,316000,379000,405000,390000,385000,421000,-1,62,4.9,
CREMORNE,539000,625000,649500,613000,695000,599500,680000,590000,570000,685000,870000,1605000,27,61,4.9,
CRESWICK,173500,161500,196500,189000,217500,233000,129000,221000,212000,291500,307500,NA,5,77,5.9,
CRIB POINT,269000,280000,280000,300000,306000,272500,305000,290000,340000,415000,405000,387500,-2,51,4.2,
CROYDON,328000,374000,376000,365000,390000,409000,449000,500000,560000,580000,567000,595000,-2,73,5.6,
CROYDON NORTH,350000,385000,380000,385000,390000,411000,482500,524500,615000,623000,610000,634500,-2,74,5.7,
CROYDON SOUTH,375000,452000,392000,390000,406000,450000,540500,560000,652500,695500,652000,720000,-6,74,5.7,
DALLAS,283500,303000,255500,236000,305000,220500,280000,268000,350000,372500,429000,380000,15,51,4.2,
DANDENONG,271000,289000,309500,292500,302500,307000,320000,334500,360000,364000,337000,388500,-7,24,2.2,
DANDENONG NORTH,275000,308500,315000,311500,328000,325500,350000,407500,455000,477500,430000,486000,-10,56,4.6,
DARLEY,200000,276000,277500,200000,294000,307000,278500,273000,318500,311000,310000,315000,0,55,4.5,
DAYLESFORD,267500,238000,285000,313500,295000,315000,325000,351000,385000,417500,535500,720000,28,100,7.2,
DEEPDENE,663000,645000,586000,653000,875000,690500,810000,960500,1290000,1000000,1060000,1148000,6,60,4.8,
DEER PARK,274500,306000,320000,300000,305000,322000,315000,345000,415000,447500,460000,405000,3,68,5.3,
DELAHEY,273000,312500,317000,305000,306500,325000,346000,360000,375000,415000,400000,465500,-4,47,3.9,
DIAMOND CREEK,380000,383000,400000,412500,444000,475000,500000,585000,594500,601000,661000,615000,10,74,5.7,
DINGLEY VILLAGE,395000,445000,417500,388500,445000,474500,505000,550000,580000,640000,600000,588000,-6,52,4.3,
DOCKLANDS,555000,585000,580000,543000,590000,559000,645000,651500,555000,587000,590000,472000,1,6,0.6,
DONCASTER,470000,527000,517500,511000,577000,549000,577000,572500,599000,581000,620000,555000,7,32,2.8,
DONCASTER EAST,502000,550000,536000,541000,592500,597500,685500,690000,651000,648000,796000,743000,23,59,4.7,
DONVALE,445000,501000,493000,505000,535000,570000,655000,650000,714000,677500,756000,740000,12,70,5.4,
DOREEN,165000,210000,369500,195000,305000,204000,135500,379000,365500,442500,430000,425000,-3,161,10.1,
DOVETON,293000,314000,302500,280000,286000,310000,315000,320000,380000,445500,400000,310000,-10,37,3.2,
DROMANA,358500,349000,390000,422000,450000,467500,400000,525000,521000,680000,585000,625000,-14,63,5.0,
DROUIN,206500,220000,234500,181500,235000,240000,247500,250500,285000,330000,334000,342500,1,62,4.9,
DRYSDALE,255000,269500,250000,260000,269000,290000,303000,325000,309000,382500,392500,365000,3,54,4.4,
EAGLEHAWK,183500,207000,225000,218000,230000,235000,237500,220000,228000,225000,242000,258000,8,32,2.8,
EAGLEMONT,634500,571000,602500,777500,645000,650000,807500,725000,758000,1265000,785000,567500,-38,24,2.2,
EAST BENDIGO,228000,223000,235000,145000,284000,270500,270000,325000,337000,322000,331000,265000,3,45,3.8,
EAST GEELONG,209000,230000,265000,295000,300000,312000,325000,369000,313000,385000,425500,395000,10,103,7.4,
EAST MELBOURNE,480000,610000,515000,514000,610000,597500,700000,1280000,745000,750000,595000,692000,-21,24,2.2,
ECHUCA,231000,214500,225000,245500,220000,246000,255000,278000,283000,278000,269000,313500,-3,16,1.5,
EDITHVALE,399000,465000,478000,450000,475000,472500,482000,565000,697500,709000,694000,730000,-2,74,5.7,
ELSTERNWICK,470000,516000,506000,490000,535000,563000,558000,595000,705000,627000,600000,710000,-4,28,2.5,
ELTHAM,401500,459000,468000,450000,470000,493000,549000,562000,687500,656500,650000,755000,-1,62,4.9,
ELWOOD,467500,580000,536500,525000,560000,588000,615500,629500,664000,660000,672500,709000,2,44,3.7,
ENDEAVOUR HILLS,347000,360000,330000,330000,342500,345000,405500,396000,457000,620500,497500,575000,-20,43,3.7,
EPPING,315000,313500,311500,294500,308500,310500,344000,349000,375000,370000,400000,370500,8,27,2.4,
EPSOM,215000,261000,239500,260000,115500,275000,260000,272500,275000,291000,305000,320000,5,42,3.6,
ESSENDON,415000,450500,446000,430000,462000,469000,511000,530000,520000,492000,520000,560000,6,25,2.3,
ESSENDON NORTH,408000,435000,479000,465000,425000,485000,435000,477500,470000,400000,425000,457500,6,4,0.4,
EUMEMMERRING,235000,315000,305000,280500,295500,295500,325000,341000,492500,414000,430000,384000,4,83,6.2,
EUROA,155000,150000,180000,183000,190000,167500,194000,201500,235000,220000,239000,162500,9,54,4.4,
FAIRFIELD,362000,377500,394000,395000,435000,489500,464000,600000,621500,509000,526500,675000,3,45,3.8,
FAWKNER,325000,357500,348000,378000,344000,345000,370000,400000,473000,510000,477500,504000,-6,47,3.9,
FERNTREE GULLY,329000,365500,361000,372000,380000,405000,430000,510000,555000,599000,537500,600000,-10,63,5.0,
FISHERMANS BEND,635000,855000,850000,776500,822000,881000,914500,920000,934000,971500,883000,750500,-9,39,3.4,
FITZROY,539000,595000,560000,538000,572500,603000,657000,680000,750000,770000,755500,645000,-2,40,3.4,
FITZROY NORTH,492500,609000,515000,525000,569500,550000,608500,610000,581500,640000,640000,641000,0,30,2.7,
FLEMINGTON,308500,392500,382000,387500,363000,437000,437500,415000,436000,440500,407500,369000,-7,32,2.8,
FLORA HILL,200500,216000,225000,222000,272000,261500,225000,240000,250000,247500,244500,260000,-1,22,2.0,
FOOTSCRAY,360000,382500,343500,385000,396500,408000,458000,440000,441000,425000,410000,463500,-3,14,1.3,
FOREST HILL,467000,477500,430500,440000,560000,590000,465000,637500,706500,700500,727500,730000,4,56,4.5,
FOSTER,180000,140000,237000,237500,298000,275500,248000,260000,200000,200000,180000,292500,-10,0,NA,
FRANKSTON,240000,287000,285000,275000,285000,300000,321000,334500,399000,440000,414500,412000,-6,73,5.6,
FRANKSTON NORTH,255000,290000,241000,257000,100000,247000,316000,306500,380000,414000,400000,NA,-3,57,4.6,
FRANKSTON SOUTH,355000,405000,420000,407500,405000,425000,430000,477000,550000,665000,615000,730000,-8,73,5.6,
GARDENVALE,322500,347500,325000,352000,481500,491000,315000,345000,560000,307500,641500,305000,109,99,7.1,
GEELONG,332500,455500,491000,473000,486500,495000,473500,470000,594000,552500,547500,610000,-1,65,5.1,
GEELONG WEST,243000,240000,297000,317000,265000,340000,338500,378000,379000,391500,434000,317500,11,79,6.0,
GISBORNE,285000,335000,345000,327500,355000,375000,435000,447500,450000,507500,510000,550000,0,79,6.0,
GLEN HUNTLY,390000,483000,469000,435000,507500,412500,545000,572500,560000,595000,524000,538000,-12,34,3.0,
GLEN IRIS,465000,594000,560500,500000,540000,560000,590000,645000,775000,681000,630000,657500,-7,35,3.1,
GLEN WAVERLEY,464000,500000,470000,507500,600500,649000,651000,700000,830000,863000,847500,708000,-2,83,6.2,
GLENROY,365000,387500,400000,380000,379500,400000,415000,446000,500000,520000,529000,540000,2,45,3.8,
GOLDEN POINT (BALLARAT),231000,195000,221500,257500,245000,256000,250000,232000,315000,310000,319500,365000,3,38,3.3,
GOLDEN SQUARE,207000,222500,240000,253000,273000,270000,245000,250000,272000,250000,277000,267500,11,34,3.0,
GREENSBOROUGH,401000,426500,412000,440000,430000,446000,490500,517500,622500,626000,633000,640500,1,58,4.7,
GREENVALE,375000,390000,342500,331000,257500,399000,385000,395000,427500,485000,561500,525000,16,50,4.1,
GROVEDALE,248000,260500,270000,286000,280000,245000,275000,302500,330000,359000,399000,435000,11,61,4.9,
HADFIELD,352500,376000,377500,350000,360000,350000,383000,432000,535000,575500,502500,625000,-13,43,3.6,
HALLAM,283500,325500,320000,345000,330000,306500,350000,362500,405000,446000,415000,505000,-7,46,3.9,
HAMILTON,203500,227000,220000,184500,148500,200000,207000,195000,175000,168000,187500,187500,12,-8,-0.8,
HAMLYN HEIGHTS,255000,247500,317500,274000,320000,295500,306500,326500,370000,436000,470000,421500,8,84,6.3,
HAMPTON,555000,690000,560000,599500,680000,650000,750000,802000,877000,865000,775000,940000,-10,40,3.4,
HAMPTON EAST,466500,520000,495000,537000,584000,593500,643500,627500,615000,653000,597000,872500,-9,28,2.5,
HAMPTON PARK,275000,282000,291500,278500,280000,285000,339000,340000,390500,425000,400000,426000,-6,45,3.8,
HARKNESS,239000,255000,275000,260000,260000,265000,245000,277500,332000,365000,348500,369000,-5,46,3.8,
HASTINGS,240000,290000,330000,303500,275000,285000,295000,320000,340000,450000,390000,405000,-13,63,5.0,
HAWTHORN,370000,479000,478500,450000,482500,553000,579000,566000,584000,559000,540000,560000,-3,46,3.9,
HAWTHORN EAST,461000,665000,550000,529500,510000,541000,575000,662500,635000,619500,616500,650500,-1,34,2.9,
HEALESVILLE,290000,305000,310000,350000,332500,369000,360000,407500,435500,450000,475000,520000,6,64,5.1,
